Team Name,abbrev,code (file_code),league
Baltimore Orioles,BAL,bal,American League
Boston Red Sox,BOS,bos,American League
Chicago White Sox,CSW,cha,American League
Cleveland Indians,CLE,cle,American League
Detroit Tigers,DET,det,American League
Houston Astros,HOU,hou,American League
Kansas City Royals,KC,kca,American League
Los Angeles Angels,LAA,ana,American League
Minnesota Twins,MIN,min,American League
New York Yankees,NYY,nya,American League
Oakland Athletics,OAK,oak,American League
Seattle Mariners,SEA,sea,American League
Tampa Bay Rays,TB,tba,American League
Texas Rangers,TEX,tex,American League
Toronto Blue Jays,TOR,tor,American League
Arizona Diamondbacks,ARI,ari,National League
Atlanta Braves,ATL,atl,National League
Chicago Cubs,CHC,chn,National League
Cincinnati Reds,CIN,cin,National League
Colorado Rockies,COL,col,National League
Los Angeles Dodgers,LAD,lan,National League
Miami Marlins,MIA,mia,National League
Milwaukee Brewers,MIL,mil,National League
New York Mets,NYM,nyn,National League
Philadelphia Phillies,PHI,phi,National League
Pittsburgh Pirates,PIT,pit,National League
San Diego Padres,SD,sdn,National League
San Francisco Giants,SF,sfn,National League
St. Louis Cardinals,STL,sln,National League
Washington Nationals,WSH,was,National League